title,genres,year,votes,rating
"Lyle, Lyle, Crocodile",Comedy,2022,17000,6.1
"Lyle, Lyle, Crocodile",Family,2022,17000,6.1
"Lyle, Lyle, Crocodile",Fantasy,2022,17000,6.1
"Lyle, Lyle, Crocodile",Musical,2022,17000,6.1
Nope,Alien Invasion,2022,296000,6.8
Nope,Monster Horror,2022,296000,6.8
Nope,Supernatural Horror,2022,296000,6.8
Nope,Horror,2022,296000,6.8
Nope,Mystery,2022,296000,6.8
Nope,Sci-Fi,2022,296000,6.8
Nope,Thriller,2022,296000,6.8
Brooklyn,Period Drama,2015,155000,7.5
Brooklyn,Drama,2015,155000,7.5
Brooklyn,Romance,2015,155000,7.5
Bloody Sunday,Docudrama,2002,26000,7.6
Bloody Sunday,Period Drama,2002,26000,7.6
Bloody Sunday,Drama,2002,26000,7.6
Bloody Sunday,History,2002,26000,7.6
Bloody Sunday,War,2002,26000,7.6
The Killing Fields,Docudrama,1985,61000,7.8
The Killing Fields,Biography,1985,61000,7.8
The Killing Fields,Drama,1985,61000,7.8
The Killing Fields,History,1985,61000,7.8
The Killing Fields,War,1985,61000,7.8
The Silence of the Lambs,Police Procedural,1991,1600000,8.6
The Silence of the Lambs,Psychological Drama,1991,1600000,8.6
The Silence of the Lambs,Psychological Horror,1991,1600000,8.6
The Silence of the Lambs,Psychological Thriller,1991,1600000,8.6
The Silence of the Lambs,Serial Killer,1991,1600000,8.6
The Silence of the Lambs,Slasher Horror,1991,1600000,8.6
The Silence of the Lambs,Crime,1991,1600000,8.6
The Silence of the Lambs,Drama,1991,1600000,8.6
The Silence of the Lambs,Horror,1991,1600000,8.6
The Silence of the Lambs,Thriller,1991,1600000,8.6
Before Sunset,Drama,2004,300000,8.1
Before Sunset,Romance,2004,300000,8.1
Snow Cake,Drama,2006,14000,7.4
Snow Cake,Romance,2006,14000,7.4
Proof,Drama,2005,47000,6.7
Proof,Mystery,2005,47000,6.7
Begin Again,Showbiz Drama,2014,171000,7.4
Begin Again,Comedy,2014,171000,7.4
Begin Again,Drama,2014,171000,7.4
Begin Again,Music,2014,171000,7.4
Begin Again,Romance,2014,171000,7.4
Edge of Darkness,Conspiracy Thriller,2010,101000,6.6
Edge of Darkness,Dark Comedy,2010,101000,6.6
Edge of Darkness,Political Thriller,2010,101000,6.6
Edge of Darkness,Tragedy,2010,101000,6.6
Edge of Darkness,Action,2010,101000,6.6
Edge of Darkness,Adventure,2010,101000,6.6
Edge of Darkness,Drama,2010,101000,6.6
Edge of Darkness,Mystery,2010,101000,6.6
Edge of Darkness,Thriller,2010,101000,6.6
The Battle of Algiers,Docudrama,1967,70000,8.1
The Battle of Algiers,Political Drama,1967,70000,8.1
The Battle of Algiers,Drama,1967,70000,8.1
The Battle of Algiers,War,1967,70000,8.1
Valhalla Rising,Period Drama,2010,65000,6.0
Valhalla Rising,Adventure,2010,65000,6.0
Valhalla Rising,Drama,2010,65000,6.0
Valhalla Rising,Fantasy,2010,65000,6.0
W.,Dark Comedy,2008,51000,6.3
W.,Docudrama,2008,51000,6.3
W.,Political Drama,2008,51000,6.3
W.,Satire,2008,51000,6.3
W.,Biography,2008,51000,6.3
W.,Comedy,2008,51000,6.3
W.,Drama,2008,51000,6.3
W.,History,2008,51000,6.3
Lights Out,Supernatural Horror,2016,147000,6.3
Lights Out,Horror,2016,147000,6.3
Lights Out,Mystery,2016,147000,6.3
A Few Good Men,Legal Drama,1992,300000,7.7
A Few Good Men,Legal Thriller,1992,300000,7.7
A Few Good Men,Drama,1992,300000,7.7
A Few Good Men,Thriller,1992,300000,7.7
Cocoon: The Return,Adventure,1988,18000,5.4
Cocoon: The Return,Comedy,1988,18000,5.4
Cocoon: The Return,Mystery,1988,18000,5.4
Cocoon: The Return,Romance,1988,18000,5.4
Cocoon: The Return,Sci-Fi,1988,18000,5.4
Light It Up,Drama,1999,4000,6.0
Light It Up,Thriller,1999,4000,6.0
Gattaca,Dystopian Sci-Fi,1997,334000,7.7
Gattaca,Drama,1997,334000,7.7
Gattaca,Sci-Fi,1997,334000,7.7
Gattaca,Thriller,1997,334000,7.7
Transamerica,Road Trip,2006,43000,7.3
Transamerica,Adventure,2006,43000,7.3
Transamerica,Comedy,2006,43000,7.3
Transamerica,Drama,2006,43000,7.3
Hot Fuzz,Buddy Comedy,2007,550000,7.8
Hot Fuzz,Parody,2007,550000,7.8
Hot Fuzz,Action,2007,550000,7.8
Hot Fuzz,Comedy,2007,550000,7.8
Hot Fuzz,Mystery,2007,550000,7.8
Hot Fuzz,Thriller,2007,550000,7.8
Krrish,Superhero,2006,25000,6.5
Krrish,Action,2006,25000,6.5
Krrish,Sci-Fi,2006,25000,6.5
Blackhat,Cyber Thriller,2015,66000,5.5
Blackhat,Action,2015,66000,5.5
Blackhat,Crime,2015,66000,5.5
Blackhat,Thriller,2015,66000,5.5
Bully,Documentary,2012,11000,7.3
Ghostbusters,High-Concept Comedy,1984,468000,7.8
Ghostbusters,Quirky Comedy,1984,468000,7.8
Ghostbusters,Supernatural Fantasy,1984,468000,7.8
Ghostbusters,Action,1984,468000,7.8
Ghostbusters,Comedy,1984,468000,7.8
Ghostbusters,Fantasy,1984,468000,7.8
Ghostbusters,Sci-Fi,1984,468000,7.8
Now You See Me 2,Caper,2016,336000,6.4
Now You See Me 2,Action,2016,336000,6.4
Now You See Me 2,Adventure,2016,336000,6.4
Now You See Me 2,Comedy,2016,336000,6.4
Now You See Me 2,Crime,2016,336000,6.4
Now You See Me 2,Mystery,2016,336000,6.4
Now You See Me 2,Thriller,2016,336000,6.4
Scary Stories to Tell in the Dark,Teen Horror,2019,89000,6.2
Scary Stories to Tell in the Dark,Adventure,2019,89000,6.2
Scary Stories to Tell in the Dark,Horror,2019,89000,6.2
Scary Stories to Tell in the Dark,Mystery,2019,89000,6.2
Henry V,Epic,1989,33000,7.5
Henry V,Historical Epic,1989,33000,7.5
Henry V,Period Drama,1989,33000,7.5
Henry V,Tragedy,1989,33000,7.5
Henry V,War Epic,1989,33000,7.5
Henry V,Biography,1989,33000,7.5
Henry V,Drama,1989,33000,7.5
Henry V,History,1989,33000,7.5
Henry V,War,1989,33000,7.5
Elle,Tragedy,2016,73000,7.1
Elle,Workplace Drama,2016,73000,7.1
Elle,Crime,2016,73000,7.1
Elle,Drama,2016,73000,7.1
Elle,Thriller,2016,73000,7.1
Assisted Living,Comedy,2003,291,6.5
Assisted Living,Drama,2003,291,6.5
Being 17,Drama,2016,7500,7.2
Being 17,Romance,2016,7500,7.2
Dolittle,Animal Adventure,2020,74000,5.6
Dolittle,Quest,2020,74000,5.6
Dolittle,Adventure,2020,74000,5.6
Dolittle,Comedy,2020,74000,5.6
Dolittle,Family,2020,74000,5.6
Dolittle,Fantasy,2020,74000,5.6
On the Line,Comedy,2001,4500,4.2
On the Line,Family,2001,4500,4.2
On the Line,Romance,2001,4500,4.2
Thirteen Days,Docudrama,2001,65000,7.3
Thirteen Days,Period Drama,2001,65000,7.3
Thirteen Days,Political Drama,2001,65000,7.3
Thirteen Days,Political Thriller,2001,65000,7.3
Thirteen Days,Drama,2001,65000,7.3
Thirteen Days,History,2001,65000,7.3
Thirteen Days,Thriller,2001,65000,7.3
The Lion King,Animal Adventure,1994,1200000,8.5
The Lion King,Coming-of-Age,1994,1200000,8.5
The Lion King,Hand-Drawn Animation,1994,1200000,8.5
The Lion King,Jungle Adventure,1994,1200000,8.5
The Lion King,Adventure,1994,1200000,8.5
The Lion King,Animation,1994,1200000,8.5
The Lion King,Drama,1994,1200000,8.5
The Lion King,Family,1994,1200000,8.5
The Lion King,Fantasy,1994,1200000,8.5
The Lion King,Musical,1994,1200000,8.5
Brown Sugar,Feel-Good Romance,2002,11000,6.5
Brown Sugar,Comedy,2002,11000,6.5
Brown Sugar,Drama,2002,11000,6.5
Brown Sugar,Music,2002,11000,6.5
Brown Sugar,Romance,2002,11000,6.5
He Was a Quiet Man,Drama,2020,23000,6.7
He Was a Quiet Man,Romance,2020,23000,6.7
He Was a Quiet Man,Thriller,2020,23000,6.7
Mr. Magorium's Wonder Emporium,Comedy,2007,48000,6.2
Mr. Magorium's Wonder Emporium,Family,2007,48000,6.2
Mr. Magorium's Wonder Emporium,Fantasy,2007,48000,6.2
Rogue One: A Star Wars Story,Action Epic,2016,710000,7.8
Rogue One: A Star Wars Story,Adventure Epic,2016,710000,7.8
Rogue One: A Star Wars Story,Sci-Fi Epic,2016,710000,7.8
Rogue One: A Star Wars Story,Space Sci-Fi,2016,710000,7.8
Rogue One: A Star Wars Story,Tragedy,2016,710000,7.8
Rogue One: A Star Wars Story,Action,2016,710000,7.8
Rogue One: A Star Wars Story,Adventure,2016,710000,7.8
Rogue One: A Star Wars Story,Sci-Fi,2016,710000,7.8
Veronica Mars,Crime,2014,56000,6.7
Veronica Mars,Drama,2014,56000,6.7
Veronica Mars,Mystery,2014,56000,6.7
Veronica Mars,Thriller,2014,56000,6.7
Dumb Money,Docudrama,2023,56000,6.9
Dumb Money,Biography,2023,56000,6.9
Dumb Money,Comedy,2023,56000,6.9
Dumb Money,Drama,2023,56000,6.9
Dumb Money,Financial Drama,2023,56000,6.9
Summer of Sam,Serial Killer,1999,43000,6.7
Summer of Sam,True Crime,1999,43000,6.7
Summer of Sam,Crime,1999,43000,6.7
Summer of Sam,Drama,1999,43000,6.7
Summer of Sam,Romance,1999,43000,6.7
Summer of Sam,Thriller,1999,43000,6.7
She's So Lovely,Drama,1997,8900,5.9
She's So Lovely,Romance,1997,8900,5.9
God's Pocket,Crime,2014,13000,6.1
God's Pocket,Drama,2014,13000,6.1
March of the Penguins,Animal Adventure,2005,61000,7.5
March of the Penguins,Nature Documentary,2005,61000,7.5
March of the Penguins,Documentary,2005,61000,7.5
March of the Penguins,Family,2005,61000,7.5
Creed III,Boxing,2023,99000,6.7
Creed III,Action,2023,99000,6.7
Creed III,Drama,2023,99000,6.7
Creed III,Sport,2023,99000,6.7
EuroTrip,Raunchy Comedy,2004,233000,6.6
EuroTrip,Teen Comedy,2004,233000,6.6
EuroTrip,Comedy,2004,233000,6.6
Missing,Psychological Thriller,2023,67000,7.1
Missing,Whodunnit,2023,67000,7.1
Missing,Drama,2023,67000,7.1
Missing,Mystery,2023,67000,7.1
Missing,Thriller,2023,67000,7.1
The Punisher,One-Person Army Action,2004,175000,6.4
The Punisher,Superhero,2004,175000,6.4
The Punisher,Action,2004,175000,6.4
The Punisher,Crime,2004,175000,6.4
The Punisher,Drama,2004,175000,6.4
The Punisher,Thriller,2004,175000,6.4
U Turn,Dark Comedy,1997,56000,6.7
U Turn,Psychological Thriller,1997,56000,6.7
U Turn,Crime,1997,56000,6.7
U Turn,Drama,1997,56000,6.7
U Turn,Thriller,1997,56000,6.7
"Legally Blonde 2: Red, White & Blonde",Comedy,2003,75000,4.8
Footloose,Comedy,2011,54000,5.9
Footloose,Drama,2011,54000,5.9
Footloose,Music,2011,54000,5.9
Footloose,Romance,2011,54000,5.9
Bad Lieutenant,Psychological Drama,1992,50000,7.0
Bad Lieutenant,Crime,1992,50000,7.0
Bad Lieutenant,Drama,1992,50000,7.0
Bad Lieutenant,Thriller,1992,50000,7.0
Star Trek IV: The Voyage Home,Dark Comedy,1986,94000,7.3
