title,genres,year,votes,rating
Megiddo: The Omega Code 2,Thriller,2001,3000,3.9
Inside Man,Heist,2006,411000,7.6
Inside Man,Crime,2006,411000,7.6
Inside Man,Drama,2006,411000,7.6
Inside Man,Mystery,2006,411000,7.6
Inside Man,Thriller,2006,411000,7.6
Crash,Drama,1997,69000,6.4
Pitch Black,Monster Horror,2000,259000,7.0
Pitch Black,Survival,2000,259000,7.0
Pitch Black,Horror,2000,259000,7.0
Pitch Black,Sci-Fi,2000,259000,7.0
Pitch Black,Thriller,2000,259000,7.0
Are We There Yet?,Road Trip,2005,36000,4.8
Are We There Yet?,Slapstick,2005,36000,4.8
Are We There Yet?,Adventure,2005,36000,4.8
Are We There Yet?,Comedy,2005,36000,4.8
Are We There Yet?,Family,2005,36000,4.8
Are We There Yet?,Fantasy,2005,36000,4.8
Are We There Yet?,Romance,2005,36000,4.8
Sorry to Bother You,Dark Comedy,2018,91000,6.9
Sorry to Bother You,Satire,2018,91000,6.9
Sorry to Bother You,Workplace Drama,2018,91000,6.9
Sorry to Bother You,Comedy,2018,91000,6.9
Sorry to Bother You,Drama,2018,91000,6.9
Sorry to Bother You,Fantasy,2018,91000,6.9
Sorry to Bother You,Sci-Fi,2018,91000,6.9
A Cinderella Story,Romantic Comedy,2004,97000,5.9
A Cinderella Story,Teen Comedy,2004,97000,5.9
A Cinderella Story,Teen Romance,2004,97000,5.9
A Cinderella Story,Comedy,2004,97000,5.9
A Cinderella Story,Family,2004,97000,5.9
A Cinderella Story,Romance,2004,97000,5.9
Home,Computer Animation,2015,116000,6.5
